expenditure_type,sector,dp_code,account_head,amount_thousand,amount_crore,simplified_sector
capital_goods,energy,410-70-03-00,BUREAUS & RACKS,100,0.01,infrastructure
capital_goods,energy,410-70-04-00,FIXURES,100,0.01,infrastructure
capital_goods,energy,410-70-06-00,ELECTRICAL FITTINGS,100,0.01,infrastructure
capital_goods,energy,410-80-00-00,OTHER FIXED ASSETS,20000,2.0,infrastructure
capital_goods,energy,410-60-01-00,SERVER,15000,1.5,infrastructure
capital_goods,energy,410-60-02-00,COMPUTERS,20000,2.0,infrastructure
capital_goods,energy,410-60-03-00,STABILISERS & UPS,500,0.05,infrastructure
capital_goods,energy,410-60-04-00,PRINTERS,2000,0.2,infrastructure
capital_goods,energy,410-60-05-00,PLOTTERS & SCANNERS,500,0.05,infrastructure
capital_goods,energy,410-60-06-00,NETWORK EQUIPMENTS,30000,3.0,infrastructure
capital_goods,energy,410-60-08-00,PHOTO COPIER,500,0.05,infrastructure
capital_goods,energy,410-60-09-00,AIR CONDITIONER,500,0.05,infrastructure
capital_goods,energy,410-60-11-00,CELL PHONE,100,0.01,infrastructure
capital_goods,energy,410-70-01-00,CHAIR,100,0.01,infrastructure
capital_goods,energy,410-70-02-00,TABLE,100,0.01,infrastructure
capital_goods,energy,410-70-03-00,BUREAUS & RACKS,100,0.01,infrastructure
capital_goods,environment,410-40-12-00,TREE CUTTING EQUIPMENTS,500,0.05,infrastructure
capital_goods,environment,410-70-01-00,CHAIR,100,0.01,infrastructure
capital_goods,environment,410-70-02-00,TABLE,100,0.01,infrastructure
capital_goods,environment,410-70-03-00,BUREAUS & RACKS,100,0.01,infrastructure
capital_goods,environment,410-80-00-00,OTHER FIXED ASSETS,100,0.01,infrastructure
capital_goods,infrastructure,410-40-23-01,QUALITY CONTROL LABORATORY EQUIPMENTS,100,0.01,infrastructure
capital_goods,infrastructure,410-70-01-00,CHAIR,100,0.01,infrastructure
capital_goods,infrastructure,410-70-02-00,TABLE,100,0.01,infrastructure
capital_goods,infrastructure,410-70-03-00,BUREAUS & RACKS,100,0.01,infrastructure
capital_goods,infrastructure,410-60-09-00,AIR CONDITIONER,100,0.01,infrastructure
capital_goods,infrastructure,410-70-01-00,CHAIR,100,0.01,infrastructure
capital_goods,infrastructure,410-70-02-00,TABLE,100,0.01,infrastructure
capital_goods,infrastructure,410-70-03-00,BUREAUS & RACKS,100,0.01,infrastructure
capital_goods,infrastructure,410-70-01-00,CHAIR,50,0.005,infrastructure
capital_goods,infrastructure,410-70-02-00,TABLE,50,0.005,infrastructure
capital_goods,infrastructure,410-70-03-00,BUREAUS & RACKS,50,0.005,infrastructure
capital_goods,urban_development,410-70-01-00,CHAIR,50,0.005,infrastructure
capital_goods,urban_development,410-70-02-00,TABLE,50,0.005,infrastructure
capital_goods,urban_development,410-70-03-00,BUREAUS & RACKS,50,0.005,infrastructure
capital_goods,infrastructure,410-70-01-00,CHAIR,25,0.0025,infrastructure
capital_goods,infrastructure,410-70-02-00,TABLE,25,0.0025,infrastructure
capital_goods,infrastructure,410-70-01-00,CHAIR,25,0.0025,infrastructure
capital_goods,infrastructure,410-70-02-00,TABLE,25,0.0025,infrastructure
capital_goods,infrastructure,410-70-03-00,BUREAUS & RACKS,25,0.0025,infrastructure
capital_goods,infrastructure,410-80-00-00,OTHER FIXED ASSETS,25,0.0025,infrastructure
capital_goods,infrastructure,410-70-01-00,CHAIR,50,0.005,infrastructure
capital_goods,infrastructure,410-70-02-00,TABLE,50,0.005,infrastructure
capital_goods,infrastructure,410-70-03-00,BUREAUS & RACKS,50,0.005,infrastructure
capital_goods,infrastructure,410-70-01-00,CHAIR,50,0.005,infrastructure
capital_goods,infrastructure,410-70-02-00,TABLE,50,0.005,infrastructure
capital_goods,infrastructure,410-70-03-00,BUREAUS & RACKS,50,0.005,infrastructure
capital_goods,infrastructure,410-70-01-00,CHAIR,20,0.002,infrastructure
capital_goods,infrastructure,410-70-02-00,TABLE,20,0.002,infrastructure
capital_goods,infrastructure,410-70-03-00,BUREAUS & RACKS,20,0.002,infrastructure
capital_goods,administration,410-70-01-00,CHAIR,200,0.02,infrastructure
capital_goods,administration,410-70-02-00,TABLE,100,0.01,infrastructure
capital_goods,administration,410-70-03-00,BUREAUS & RACKS,100,0.01,infrastructure
capital_goods,administration,410-80-00-00,OTHER FIXED ASSETS,200,0.02,infrastructure
capital_goods,infrastructure,410-70-01-00,CHAIR,100,0.01,infrastructure
capital_goods,infrastructure,410-70-02-00,TABLE,100,0.01,infrastructure
capital_goods,infrastructure,410-70-03-00,BUREAUS & RACKS,100,0.01,infrastructure
capital_goods,infrastructure,410-80-00-00,OTHER FIXED ASSETS,500,0.05,infrastructure
capital_goods,administration,410-70-01-00,CHAIR,100,0.01,infrastructure
capital_goods,administration,410-70-02-00,TABLE,100,0.01,infrastructure
capital_goods,administration,410-70-03-00,BUREAUS & RACKS,100,0.01,infrastructure
capital_goods,administration,410-80-00-00,OTHER FIXED ASSETS,100,0.01,infrastructure
