level,year,sector,amount_crore,source
state,2024-25,water_sanitation,7763.0,PRS India Budget Analysis 2024-25 | TN_State_Budget_Analysis_2024_25_PRS.pdf | Irrigation and Flood Control | +9% over RE 23-24
state,2024-25,water_sanitation,6993.0,PRS India Budget Analysis 2024-25 | TN_State_Budget_Analysis_2024_25_PRS.pdf | Water Supply and Sanitation | +58% over RE 23-24
state,2024-25,revenue,62456.0,PRS India Budget Analysis 2024-25 | TN_State_Budget_Analysis_2024_25_PRS.pdf | Interest Payments on State Debt (Finance Dept treasury)
state,2024-25,administration,42509.0,PRS India Budget Analysis 2024-25 | TN_State_Budget_Analysis_2024_25_PRS.pdf | Pension & Retirement Benefits (Finance Dept treasury)
state,2024-25,housing,3500.0,TN Budget Speech 2024-25 | Confirmed scheme allocation | Kalaignarin Kanavu Illam (1 lakh houses @ ₹3.5L each)
state,2024-25,urban_development,8000.0,"TN Budget 2024-25 | Estimated from residual (not in PRS top-10) | Urban roads (₹2,500 cr confirmed) + CMDA + municipality grants"
state,2024-25,digital_governance,2500.0,TN Budget 2024-25 | Estimated from residual (not in PRS top-10) | ELCOT IT Parks + State IT Dept + e-governance
state,2024-25,infrastructure,2000.0,TN Budget 2024-25 | Estimated from residual (not in PRS top-10) | Public Works Dept — buildings & capital works
state,2024-25,environment,2000.0,TN Budget 2024-25 | Estimated from residual (not in PRS top-10) | Environment & Forests Department
state,2024-25,administration,71004.0,"TN Budget 2024-25 | Estimated from residual (not in PRS top-10) | General Admin, Finance admin, Legislature, Judiciary, Revenue Dept, Commercial Taxes & other depts"
state,2024-25,other,1500.0,TN Budget 2024-25 | Estimated from residual (not in PRS top-10) | Unclassified / miscellaneous minor heads
union,2024-25,revenue,1162940.0,Union Budget at a Glance 2024-25.pdf | p.12 | Ministry-wise BE | Interest Payments
union,2024-25,revenue,203530.0,Union Budget at a Glance 2024-25.pdf | p.12 | Ministry-wise BE | Tax Administration (incl. GST transfers)
union,2024-25,revenue,86339.0,Union Budget at a Glance 2024-25.pdf | p.12 | Ministry-wise BE | Finance
union,2024-25,revenue,47559.0,Union Budget at a Glance 2024-25.pdf | p.12 | Ministry-wise BE | Commerce and Industry
union,2024-25,safety_policing,454773.0,Union Budget at a Glance 2024-25.pdf | p.12 | Ministry-wise BE | Defence
union,2024-25,safety_policing,150983.0,Union Budget at a Glance 2024-25.pdf | p.12 | Ministry-wise BE | Home Affairs
union,2024-25,public_welfare,322787.0,Union Budget at a Glance 2024-25.pdf | p.12 | Ministry-wise BE | Transfer to States (Finance Commission)
union,2024-25,public_welfare,205250.0,Union Budget at a Glance 2024-25.pdf | p.12 | Ministry-wise BE | Food Subsidy
union,2024-25,public_welfare,164000.0,Union Budget at a Glance 2024-25.pdf | p.12 | Ministry-wise BE | Fertiliser Subsidy
union,2024-25,public_welfare,151851.0,Union Budget at a Glance 2024-25.pdf | p.12 | Ministry-wise BE | Agriculture and Allied Activities
union,2024-25,administration,243296.0,Union Budget at a Glance 2024-25.pdf | p.12 | Ministry-wise BE | Pension
union,2024-25,administration,68660.0,Union Budget at a Glance 2024-25.pdf | p.12 | Ministry-wise BE | Union Territories
union,2024-25,administration,22155.0,Union Budget at a Glance 2024-25.pdf | p.12 | Ministry-wise BE | External Affairs
union,2024-25,administration,6291.0,Union Budget at a Glance 2024-25.pdf | p.12 | Ministry-wise BE | Planning and Statistics
union,2024-25,social_welfare,265808.0,"Union Budget at a Glance 2024-25.pdf | p.12 | Ministry-wise BE | Rural Development (incl. Jal Jeevan, PMAY-G, MGNREGS)"
union,2024-25,social_welfare,56501.0,Union Budget at a Glance 2024-25.pdf | p.12 | Ministry-wise BE | Social Welfare
union,2024-25,transport,249159.0,Union Budget at a Glance 2024-25.pdf | p.12 | Ministry-wise BE | Transport — Railways Gross Budgetary Support
union,2024-25,infrastructure,294969.0,"Union Budget at a Glance 2024-25.pdf | p.12 | Ministry-wise BE | Transport — Roads, Highways & PMGSY (infrastructure split)"
union,2024-25,education,125638.0,"Union Budget at a Glance 2024-25.pdf | p.12 | Ministry-wise BE | Education (Samagra Shiksha, PM SHRI, higher ed)"
union,2024-25,digital_governance,116342.0,Union Budget at a Glance 2024-25.pdf | p.12 | Ministry-wise BE | IT and Telecom (MeitY + DoT)
union,2024-25,digital_governance,32736.0,"Union Budget at a Glance 2024-25.pdf | p.12 | Ministry-wise BE | Scientific Departments (DST, DRDO, Space)"
union,2024-25,healthcare,89287.0,"Union Budget at a Glance 2024-25.pdf | p.12 | Ministry-wise BE | Health (NHM, AIIMS, family welfare)"
union,2024-25,urban_development,77127.0,"Union Budget at a Glance 2024-25.pdf | p.12 | Ministry-wise BE | Urban Development (Smart Cities, AMRUT 2.0, UIDSSMT)"
union,2024-25,urban_development,5900.0,Union Budget at a Glance 2024-25.pdf | p.12 | Ministry-wise BE | Development of North East Region
union,2024-25,energy,68769.0,"Union Budget at a Glance 2024-25.pdf | p.12 | Ministry-wise BE | Energy (MNRE, power sector)"
union,2024-25,energy,11925.0,"Union Budget at a Glance 2024-25.pdf | p.12 | Ministry-wise BE | Petroleum Subsidy (LPG, kerosene)"
union,2024-25,housing,5450.0,"Union Budget at a Glance 2024-25.pdf | p.12 | Ministry-wise BE | Housing (PMAY-Urban, split from Urban Dev)"
union,2024-25,environment,3346.0,Union Budget at a Glance 2024-25.pdf | p.12 | Ministry-wise BE | Environment & Forests (split from Others)
union,2024-25,other,127141.0,"Union Budget at a Glance 2024-25.pdf | p.12 | Ministry-wise BE | Others (net of -13,990 reserve fund adjustment; excl. environment)"
